,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,user_id,origin_latitude,origin_longitude,destination_latitude,destination_longitude,price,hour,minute,weekday,time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14236863,35.726971,51.300335,35.72692100000001,51.300385,"{'TAPSI': 5500, 'SNAPP': 4500}",1,49,1,2020-02-23 01:49:51.657901
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,86849342,35.807583,51.464372999999995,35.811965,51.4586,"{'TAPSI': 8000, 'SNAPP': 9000}",1,55,1,2020-02-23 01:55:57.116959
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,14236863,35.8069,51.473302,35.731882,51.301875,"{'TAPSI': 24500, 'SNAPP': 23500}",1,56,1,2020-02-23 01:56:56.924428
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,86849342,35.8069,51.473302000000004,35.807654,51.46444,"{'TAPSI': 7500, 'SNAPP': 6500}",1,57,1,2020-02-23 01:57:04.721419
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,14236863,35.7269,51.300439,35.73948,51.303838,"{'TAPSI': 7500, 'SNAPP': 6500}",1,57,1,2020-02-23 01:57:23.938127
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,14236863,35.727323,51.300022999999996,35.703732,51.406707,"{'TAPSI': 26000, 'SNAPP': 17000}",2,6,1,2020-02-23 02:06:13.813146
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,14236863,35.726914,51.30046,35.729135,51.302639,"{'TAPSI': 6000, 'SNAPP': 5000}",2,23,1,2020-02-23 02:23:33.346312
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,612568367,35.797906,51.476774,35.807633,51.464323,"{'TAPSI': 9000, 'SNAPP': 10000}",6,4,1,2020-02-23 06:04:54.565091
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,14236863,35.727113,51.300468,35.70186500000001,51.405406,"{'TAPSI': 23000, 'SNAPP': 17000}",7,41,1,2020-02-23 07:41:13.336543
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,14236863,35.728049,51.300671,35.728049,51.300671,"{'TAPSI': 5500, 'SNAPP': 5000}",11,14,4,2020-02-26 11:14:42.625721
